Score:1458.0, Count:6
Score:891.0, Count:1
Score:873.0, Count:4
Score:848.0, Count:1
Score:837.0, Count:1
Score:833.0, Count:1
Score:832.0, Count:1
Score:819.0, Count:4
Score:810.0, Count:1
Score:801.0, Count:5
Score:800.0, Count:1
Score:798.0, Count:5
Score:795.0, Count:3
Score:793.0, Count:1
Score:792.0, Count:1
Score:789.0, Count:1
Score:788.0, Count:1
Score:786.0, Count:3
Score:785.0, Count:2
Score:784.0, Count:2
Score:783.0, Count:2
Score:780.0, Count:3
Score:779.0, Count:2
Score:777.0, Count:5
Score:776.0, Count:2
Score:774.0, Count:1
Score:773.0, Count:1
Score:772.0, Count:2
Score:771.0, Count:1
Score:769.0, Count:1
Score:768.0, Count:33
Score:765.0, Count:2
