Score: 873.0, Count: 1
Score: 837.0, Count: 1
Score: 805.0, Count: 1
Score: 800.0, Count: 1
Score: 795.0, Count: 1
Score: 792.0, Count: 1
Score: 784.0, Count: 1
Score: 783.0, Count: 1
Score: 776.0, Count: 2
Score: 768.0, Count: 10
Score: 765.0, Count: 2
Score: 761.0, Count: 1
Score: 756.0, Count: 2
Score: 752.0, Count: 1
Score: 744.0, Count: 4
Score: 741.0, Count: 2
Score: 740.0, Count: 4
Score: 738.0, Count: 2
Score: 736.0, Count: 4
Score: 735.0, Count: 1
Score: 732.0, Count: 3
Score: 730.0, Count: 2
Score: 729.0, Count: 2
