Score: 299008.0, Count: 26
Score: 294912.0, Count: 5
Score: 286720.0, Count: 5
Score: 282624.0, Count: 2
Score: 276480.0, Count: 4
Score: 275456.0, Count: 16
Score: 274432.0, Count: 4
Score: 270528.0, Count: 8
Score: 270336.0, Count: 24
Score: 268032.0, Count: 1
Score: 267264.0, Count: 3
Score: 266240.0, Count: 4
Score: 264192.0, Count: 1
Score: 263168.0, Count: 1
Score: 262144.0, Count: 8
Score: 261120.0, Count: 2
Score: 260096.0, Count: 1
Score: 259456.0, Count: 1
Score: 259072.0, Count: 2
Score: 258560.0, Count: 1
Score: 258304.0, Count: 1
Score: 258048.0, Count: 1
Score: 257792.0, Count: 1
Score: 257664.0, Count: 3
Score: 256512.0, Count: 1
Score: 251904.0, Count: 1
Score: 243328.0, Count: 1
Score: 243200.0, Count: 1
Score: 242560.0, Count: 1
Score: 240512.0, Count: 1
Score: 237924.0, Count: 1
Score: 234240.0, Count: 1
Score: 233472.0, Count: 1
Score: 230400.0, Count: 1
Score: 228800.0, Count: 1
Score: 227860.0, Count: 1
Score: 225072.0, Count: 1
Score: 224832.0, Count: 1
Score: 219836.0, Count: 1
Score: 219312.0, Count: 1
Score: 214200.0, Count: 1
Score: 214012.0, Count: 1
Score: 208664.0, Count: 1
Score: 208128.0, Count: 1
Score: 207192.0, Count: 1
Score: 205110.0, Count: 1
Score: 204672.0, Count: 1
Score: 193480.0, Count: 1
Score: 183850.0, Count: 1
