Score: 299008.0, Count: 7
Score: 294912.0, Count: 1
Score: 276480.0, Count: 2
Score: 275456.0, Count: 1
Score: 274432.0, Count: 3
Score: 270528.0, Count: 2
Score: 270336.0, Count: 3
Score: 266240.0, Count: 1
Score: 262144.0, Count: 1
Score: 261120.0, Count: 1
Score: 259840.0, Count: 1
Score: 258048.0, Count: 2
Score: 257024.0, Count: 1
Score: 256512.0, Count: 2
Score: 254976.0, Count: 3
Score: 253952.0, Count: 1
Score: 253568.0, Count: 5
Score: 253440.0, Count: 1
Score: 252416.0, Count: 1
Score: 251904.0, Count: 3
Score: 251808.0, Count: 2
Score: 251775.0, Count: 1
Score: 251136.0, Count: 1
Score: 250880.0, Count: 1
Score: 249792.0, Count: 1
Score: 249000.0, Count: 1
Score: 246784.0, Count: 2
Score: 246448.0, Count: 1
Score: 246140.0, Count: 1
Score: 245772.0, Count: 1
Score: 245760.0, Count: 1
Score: 245504.0, Count: 1
Score: 245412.0, Count: 1
Score: 245280.0, Count: 1
Score: 245120.0, Count: 1
Score: 244950.0, Count: 1
Score: 244755.0, Count: 1
Score: 244736.0, Count: 2
Score: 244608.0, Count: 2
Score: 244352.0, Count: 1
Score: 243856.0, Count: 1
Score: 243712.0, Count: 2
Score: 243520.0, Count: 1
Score: 243000.0, Count: 1
Score: 242976.0, Count: 1
Score: 242944.0, Count: 1
Score: 242880.0, Count: 1
Score: 242816.0, Count: 1
Score: 242688.0, Count: 2
Score: 242518.0, Count: 1
Score: 241920.0, Count: 1
Score: 241812.0, Count: 1
Score: 241664.0, Count: 1
Score: 241600.0, Count: 1
Score: 240768.0, Count: 1
Score: 240640.0, Count: 1
Score: 240556.0, Count: 1
Score: 240552.0, Count: 1
Score: 240384.0, Count: 1
Score: 240272.0, Count: 1
Score: 240128.0, Count: 1
Score: 239916.0, Count: 1
Score: 239808.0, Count: 1
Score: 239616.0, Count: 1
Score: 239360.0, Count: 1
Score: 239080.0, Count: 1
Score: 238848.0, Count: 1
Score: 238592.0, Count: 1
Score: 238496.0, Count: 1
Score: 238328.0, Count: 1
Score: 238208.0, Count: 1
Score: 238168.0, Count: 1
