Score: 3.411968e6, Count: 1
Score: 3.031476e6, Count: 1
Score: 3.024424e6, Count: 1
Score: 3.023296e6, Count: 1
Score: 3.0084e6, Count: 1
Score: 2.993192e6, Count: 1
Score: 2.980302e6, Count: 1
Score: 2.977608e6, Count: 1
Score: 2.96704e6, Count: 1
Score: 2.946048e6, Count: 1
Score: 2.901872e6, Count: 1
Score: 2.896896e6, Count: 1
Score: 2.885884e6, Count: 1
Score: 2.876115e6, Count: 1
Score: 2.873424e6, Count: 1
Score: 2.872856e6, Count: 1
Score: 2.870436e6, Count: 1
Score: 2.867088e6, Count: 1
Score: 2.86655e6, Count: 1
Score: 2.865684e6, Count: 1
Score: 2.864416e6, Count: 1
Score: 2.864254e6, Count: 1
Score: 2.854005e6, Count: 1
Score: 2.853601e6, Count: 1
Score: 2.851312e6, Count: 1
Score: 2.851287e6, Count: 1
Score: 2.843974e6, Count: 1
Score: 2.838192e6, Count: 1
Score: 2.836484e6, Count: 1
Score: 2.835258e6, Count: 1
Score: 2.835047e6, Count: 1
Score: 2.833872e6, Count: 1
Score: 2.833137e6, Count: 1
Score: 2.831016e6, Count: 1
Score: 2.82912e6, Count: 1
Score: 2.828287e6, Count: 1
Score: 2.82404e6, Count: 1
Score: 2.82114e6, Count: 1
Score: 2.8152e6, Count: 1
Score: 2.81145e6, Count: 1
Score: 2.81096e6, Count: 1
Score: 2.807616e6, Count: 1
Score: 2.807322e6, Count: 1
Score: 2.80719e6, Count: 1
Score: 2.804264e6, Count: 1
Score: 2.802176e6, Count: 1
Score: 2.800746e6, Count: 1
Score: 2.79864e6, Count: 1
Score: 2.797871e6, Count: 1
Score: 2.797776e6, Count: 1
Score: 2.796979e6, Count: 1
Score: 2.79659e6, Count: 1
Score: 2.796304e6, Count: 1
Score: 2.794485e6, Count: 1
Score: 2.794112e6, Count: 1
Score: 2.7928e6, Count: 1
Score: 2.79186e6, Count: 1
Score: 2.791401e6, Count: 1
Score: 2.789478e6, Count: 1
Score: 2.786839e6, Count: 1
Score: 2.784768e6, Count: 1
Score: 2.78155e6, Count: 1
Score: 2.781283e6, Count: 1
Score: 2.780384e6, Count: 1
Score: 2.776768e6, Count: 1
Score: 2.776302e6, Count: 1
Score: 2.77612e6, Count: 1
Score: 2.775659e6, Count: 1
Score: 2.774768e6, Count: 1
Score: 2.774662e6, Count: 1
Score: 2.773948e6, Count: 1
Score: 2.77392e6, Count: 1
Score: 2.773548e6, Count: 1
Score: 2.772416e6, Count: 1
Score: 2.771949e6, Count: 1
Score: 2.771115e6, Count: 1
Score: 2.770905e6, Count: 1
Score: 2.768216e6, Count: 1
Score: 2.765676e6, Count: 1
Score: 2.764942e6, Count: 1
Score: 2.764785e6, Count: 1
Score: 2.763172e6, Count: 1
Score: 2.762339e6, Count: 1
Score: 2.762224e6, Count: 1
Score: 2.76204e6, Count: 1
Score: 2.761692e6, Count: 1
Score: 2.761344e6, Count: 1
Score: 2.761191e6, Count: 1
Score: 2.758968e6, Count: 1
Score: 2.758084e6, Count: 1
Score: 2.756608e6, Count: 1
Score: 2.756283e6, Count: 1
Score: 2.753364e6, Count: 1
Score: 2.751424e6, Count: 1
Score: 2.750976e6, Count: 1
Score: 2.75043e6, Count: 1
Score: 2.750346e6, Count: 1
Score: 2.748055e6, Count: 1
Score: 2.746887e6, Count: 1
Score: 2.744769e6, Count: 1
