Score: 3.7427384e7, Count: 1
Score: 3.725672e7, Count: 1
Score: 3.7238772e7, Count: 1
Score: 3.723835e7, Count: 1
Score: 3.7167948e7, Count: 1
Score: 3.715498e7, Count: 1
Score: 3.713519e7, Count: 1
Score: 3.704805e7, Count: 1
Score: 3.70384e7, Count: 1
Score: 3.69839e7, Count: 1
Score: 3.694455e7, Count: 1
Score: 3.692826e7, Count: 1
Score: 3.68998e7, Count: 1
Score: 3.6854996e7, Count: 1
Score: 3.6775696e7, Count: 1
Score: 3.6581e7, Count: 1
Score: 3.657056e7, Count: 1
Score: 3.6515636e7, Count: 1
Score: 3.649764e7, Count: 1
Score: 3.6488132e7, Count: 1
Score: 3.646132e7, Count: 1
Score: 3.646104e7, Count: 1
Score: 3.637532e7, Count: 1
Score: 3.6373852e7, Count: 1
Score: 3.6345852e7, Count: 1
Score: 3.629072e7, Count: 1
Score: 3.625664e7, Count: 1
Score: 3.6225536e7, Count: 1
Score: 3.622316e7, Count: 1
Score: 3.6204944e7, Count: 1
Score: 3.619611e7, Count: 1
Score: 3.618355e7, Count: 1
Score: 3.6136584e7, Count: 1
Score: 3.6134324e7, Count: 1
Score: 3.6118256e7, Count: 1
Score: 3.607297e7, Count: 1
Score: 3.5976404e7, Count: 1
Score: 3.594065e7, Count: 1
Score: 3.5931236e7, Count: 1
Score: 3.592779e7, Count: 1
Score: 3.5890364e7, Count: 1
Score: 3.588083e7, Count: 1
Score: 3.588038e7, Count: 1
Score: 3.5848628e7, Count: 1
Score: 3.5833144e7, Count: 1
Score: 3.581056e7, Count: 1
Score: 3.5793536e7, Count: 1
Score: 3.579051e7, Count: 1
Score: 3.5765588e7, Count: 1
Score: 3.5653076e7, Count: 1
Score: 3.5636756e7, Count: 1
Score: 3.5632652e7, Count: 1
Score: 3.562962e7, Count: 1
Score: 3.5592576e7, Count: 1
Score: 3.5513044e7, Count: 1
Score: 3.550113e7, Count: 1
Score: 3.549089e7, Count: 1
Score: 3.5463484e7, Count: 1
Score: 3.5387736e7, Count: 1
Score: 3.5368732e7, Count: 1
Score: 3.536144e7, Count: 1
Score: 3.534666e7, Count: 1
Score: 3.5337068e7, Count: 1
Score: 3.531112e7, Count: 1
Score: 3.530894e7, Count: 1
Score: 3.5302828e7, Count: 1
Score: 3.5266652e7, Count: 1
Score: 3.526132e7, Count: 1
Score: 3.5259612e7, Count: 1
Score: 3.522555e7, Count: 1
Score: 3.5222456e7, Count: 1
Score: 3.5195664e7, Count: 2
Score: 3.5193524e7, Count: 1
Score: 3.518694e7, Count: 1
Score: 3.517225e7, Count: 1
Score: 3.514257e7, Count: 1
Score: 3.5139664e7, Count: 1
Score: 3.5116548e7, Count: 1
Score: 3.5016356e7, Count: 1
Score: 3.5013564e7, Count: 1
Score: 3.5012264e7, Count: 1
Score: 3.4987452e7, Count: 1
Score: 3.4967056e7, Count: 1
Score: 3.4930296e7, Count: 1
Score: 3.492709e7, Count: 1
Score: 3.492639e7, Count: 1
Score: 3.4901864e7, Count: 1
Score: 3.487409e7, Count: 1
Score: 3.4866864e7, Count: 1
Score: 3.4862896e7, Count: 1
Score: 3.485268e7, Count: 1
Score: 3.479316e7, Count: 1
Score: 3.478858e7, Count: 1
Score: 3.4772976e7, Count: 1
Score: 3.475957e7, Count: 1
Score: 3.4758876e7, Count: 1
Score: 3.472249e7, Count: 1
Score: 3.4693884e7, Count: 1
Score: 3.46864e7, Count: 1
Score: 3.464718e7, Count: 1
Score: 3.4644324e7, Count: 1
Score: 3.464259e7, Count: 1
Score: 3.2542678e7, Count: 1
