Score: 2080.0, Count: 1
Score: 1980.0, Count: 1
Score: 1930.0, Count: 1
Score: 1846.0, Count: 1
Score: 1820.0, Count: 1
Score: 1809.0, Count: 1
Score: 1776.0, Count: 2
Score: 1773.0, Count: 1
Score: 1770.0, Count: 1
Score: 1768.0, Count: 1
Score: 1760.0, Count: 1
Score: 1758.0, Count: 2
Score: 1755.0, Count: 1
Score: 1750.0, Count: 1
Score: 1742.0, Count: 1
Score: 1736.0, Count: 1
Score: 1725.0, Count: 1
Score: 1713.0, Count: 1
Score: 1712.0, Count: 1
Score: 1710.0, Count: 1
Score: 1706.0, Count: 1
Score: 1696.0, Count: 1
Score: 1692.0, Count: 2
Score: 1685.0, Count: 1
Score: 1684.0, Count: 1
Score: 1674.0, Count: 1
Score: 1672.0, Count: 1
